UPPER,Data Type,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012
NEW JERSEY,All Homes,256100,"$256,900","$258,300","$259,100",259700
ATLANTIC,All Homes,179900,"$179,700","$181,200","$183,100",185800
BERGEN,All Homes,375200,"$376,600","$377,000","$377,600",380000
BURLINGTON,All Homes,194100,"$195,600","$198,200","$198,300",197800
CAMDEN,All Homes,148500,"$150,400","$151,600","$150,100",149400
CAPE MAY,All Homes,310600,"$309,100","$311,400","$314,100",313600
CUMBERLAND,All Homes,132100,"$132,100","$130,000","$125,200",120100
ESSEX,All Homes,276200,"$276,000","$277,400","$279,900",282800
GLOUCESTER,All Homes,176500,"$176,400","$176,700","$176,700",175900
HUDSON,All Homes,274500,"$278,600","$287,100","$291,300",293100
HUNTERDON,All Homes,326400,"$326,600","$328,000","$327,300",327000
MERCER,All Homes,202900,"$203,400","$202,200","$201,400",201900
MIDDLESEX,All Homes,258400,"$259,300","$261,200","$261,200",261100
MONMOUTH,All Homes,327000,"$327,100","$327,100","$329,000",331100
MORRIS,All Homes,363700,"$367,000",,,
OCEAN,All Homes,230200,"$230,800","$231,900","$233,000",234100
PASSAIC,All Homes,259900,"$260,900","$263,200","$260,700",257700
SALEM,All Homes,141900,"$142,100","$141,800","$142,100",143600
SOMERSET,All Homes,332300,"$332,800","$333,300","$332,300",331400
SUSSEX,All Homes,205800,"$205,200","$206,700","$207,600",208700
UNION,All Homes,260400,"$260,500","$261,800","$260,400",258400
WARREN,All Homes,194600,"$192,000","$193,000","$193,600",193600
