,STATE,distarea,totalpopul,totpopmale
0,ANDAMAN & NICOBAR ISLANDS,8249.0,380581.0,202871.0
1,ANDHRA PRADESH,160205.0,49386799.0,24738068.0
2,ARUNACHAL PRADESH,83743.0,1383727.0,713912.0
3,ASSAM,78438.0,31205576.0,15939443.0
4,BIHAR,94163.0,104099452.0,54278157.0
5,CHANDIGARH,114.0,1055450.0,580663.0
6,CHHATISGARH,135192.0,25545198.0,12832895.0
7,DADRA & NAGAR HAVELI,491.0,343709.0,193760.0
8,DAMAN & DIU,111.0,243247.0,150301.0
9,GOA,3702.0,1458545.0,739140.0
10,GUJARAT,196244.0,60439692.0,31491260.0
11,HARYANA,44212.0,25351462.0,13494734.0
12,HIMACHAL PRADESH,55673.0,6864602.0,3481873.0
13,JAMMU & KASHMIR,42241.0,12267013.0,6483906.0
14,JHARKHAND,79716.0,32988134.0,16930315.0
15,KARNATAKA,191791.0,61095297.0,30966657.0
16,KERALA,38852.0,33406061.0,16027412.0
17,LADAKH,59146.0,274289.0,156756.0
18,LAKSHADWEEP,30.0,64473.0,33123.0
19,MADHYA PRADESH,308252.0,72626809.0,37612306.0
20,MAHARASHTRA,307713.0,112374333.0,58243056.0
21,MANIPUR,22327.0,2855794.0,1438586.0
22,MEGHALAYA,18610.0,2571765.0,1295547.0
23,MIZORAM,21081.0,1097206.0,555339.0
24,NCT OF DELHI,1483.0,16787941.0,8987326.0
25,NAGALAND,16579.0,1978502.0,1024649.0
26,ORISSA,155707.0,41974218.0,21212136.0
27,PONDICHERRY,490.0,1247953.0,612511.0
28,PUNJAB,50362.0,27743338.0,14639465.0
29,RAJASTHAN,342239.0,68548437.0,35550997.0
30,SIKKIM,7096.0,610577.0,323070.0
31,TAMIL NADU,130060.0,72147030.0,36137975.0
32,TELANGANA,0.0,35003674.0,17611633.0
33,TRIPURA,10486.0,3673917.0,1874376.0
34,UTTAR PRADESH,240928.0,199812341.0,104480510.0
35,UTTARAKHAND,53483.0,10086292.0,5137773.0
36,WEST BENGAL,88752.0,91276115.0,46809027.0
