,STATE,Total Cognizable IPC crimes,best_match
0,A&N ISLANDS,1492,ANDAMAN & NICOBAR ISLANDS
1,ANDHRA PRADESH,229208,ANDHRA PRADESH
2,ARUNACHAL PRADESH,5686,ARUNACHAL PRADESH
3,ASSAM,188674,ASSAM
4,BIHAR,355190,BIHAR
5,CHANDIGARH,6442,CHANDIGARH
6,CHHATTISGARH,116400,CHHATISGARH
7,D&N HAVELI,554,DADRA & NAGAR HAVELI
8,DAMAN & DIU,466,DAMAN & DIU
9,DELHI UT,311308,NCT OF DELHI
10,GOA,8932,GOA
11,GUJARAT,262770,GUJARAT
12,HARYANA,159894,HARYANA
13,HIMACHAL PRADESH,28320,HIMACHAL PRADESH
14,JAMMU & KASHMIR,47696,JAMMU & KASHMIR
15,JHARKHAND,90670,JHARKHAND
16,KARNATAKA,274676,KARNATAKA
17,KERALA,413578,KERALA
18,LAKSHADWEEP,162,LAKSHADWEEP
19,MADHYA PRADESH,544846,MADHYA PRADESH
20,MAHARASHTRA,499668,MAHARASHTRA
21,MANIPUR,7282,MANIPUR
22,MEGHALAYA,7358,MEGHALAYA
23,MIZORAM,4280,MIZORAM
24,NAGALAND,2314,NAGALAND
25,ODISHA,149138,ORISSA
26,PUDUCHERRY,7168,PONDICHERRY
27,PUNJAB,74324,PUNJAB
28,RAJASTHAN,420836,RAJASTHAN
29,SIKKIM,2130,SIKKIM
30,TAMIL NADU,386400,TAMIL NADU
31,TELANGANA,213660,TELANGANA
32,TRIPURA,10998,TRIPURA
33,UTTAR PRADESH,480950,UTTAR PRADESH
34,UTTARAKHAND,18312,UTTARAKHAND
35,WEST BENGAL,386096,WEST BENGAL
